 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\14N7_in_Mylar.txt

 Ion = Nitrogen [7] , Mass = 13.99923 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.297E+03  2.163E+00    6.73 um     2336 A      2677 A   
   7.00 MeV   1.295E+03  2.031E+00    7.12 um     2408 A      2716 A   
   8.00 MeV   1.286E+03  1.813E+00    7.89 um     2660 A      2789 A   
   9.00 MeV   1.269E+03  1.639E+00    8.67 um     2895 A      2859 A   
  10.00 MeV   1.249E+03  1.498E+00    9.47 um     3118 A      2927 A   
  11.00 MeV   1.226E+03  1.380E+00   10.27 um     3333 A      2993 A   
  12.00 MeV   1.201E+03  1.281E+00   11.10 um     3542 A      3057 A   
  13.00 MeV   1.176E+03  1.196E+00   11.94 um     3747 A      3122 A   
  14.00 MeV   1.151E+03  1.121E+00   12.79 um     3950 A      3186 A   
  15.00 MeV   1.126E+03  1.057E+00   13.67 um     4152 A      3250 A   
  16.00 MeV   1.101E+03  9.991E-01   14.57 um     4352 A      3315 A   
  17.00 MeV   1.077E+03  9.479E-01   15.49 um     4552 A      3380 A   
  18.00 MeV   1.054E+03  9.021E-01   16.42 um     4752 A      3446 A   
  20.00 MeV   1.010E+03  8.231E-01   18.36 um     5505 A      3581 A   
  22.50 MeV   9.586E+02  7.428E-01   20.90 um     6595 A      3754 A   
  25.00 MeV   9.119E+02  6.775E-01   23.57 um     7622 A      3936 A   
  27.50 MeV   8.693E+02  6.233E-01   26.38 um     8615 A      4125 A   
  30.00 MeV   8.388E+02  5.776E-01   29.30 um     9577 A      4322 A   
  32.50 MeV   8.074E+02  5.384E-01   32.34 um     1.05 um     4526 A   
  35.00 MeV   7.744E+02  5.044E-01   35.50 um     1.14 um     4738 A   
  37.50 MeV   7.441E+02  4.747E-01   38.79 um     1.24 um     4959 A   
  40.00 MeV   7.163E+02  4.485E-01   42.21 um     1.33 um     5189 A   
  45.00 MeV   6.669E+02  4.042E-01   49.44 um     1.68 um     5676 A   
  50.00 MeV   6.243E+02  3.683E-01   57.19 um     2.01 um     6198 A   
  55.00 MeV   5.871E+02  3.385E-01   65.45 um     2.33 um     6756 A   
  60.00 MeV   5.544E+02  3.134E-01   74.21 um     2.64 um     7349 A   
  65.00 MeV   5.253E+02  2.919E-01   83.47 um     2.95 um     7977 A   
  70.00 MeV   4.992E+02  2.733E-01   93.23 um     3.26 um     8638 A   
  80.00 MeV   4.545E+02  2.427E-01  114.22 um     4.42 um     1.01 um  
  90.00 MeV   4.175E+02  2.185E-01  137.17 um     5.49 um     1.16 um  
 100.00 MeV   3.862E+02  1.989E-01  162.07 um     6.53 um     1.33 um  
 110.00 MeV   3.595E+02  1.826E-01  188.91 um     7.56 um     1.51 um  
 120.00 MeV   3.364E+02  1.690E-01  217.66 um     8.60 um     1.70 um  
 130.00 MeV   3.161E+02  1.573E-01  248.32 um     9.64 um     1.91 um  
 140.00 MeV   2.983E+02  1.472E-01  280.88 um    10.69 um     2.13 um  
 150.00 MeV   2.824E+02  1.383E-01  315.32 um    11.76 um     2.36 um  
 160.00 MeV   2.682E+02  1.305E-01  351.64 um    12.85 um     2.60 um  
 170.00 MeV   2.555E+02  1.236E-01  389.83 um    13.95 um     2.85 um  
 180.00 MeV   2.439E+02  1.174E-01  429.88 um    15.07 um     3.12 um  
 200.00 MeV   2.238E+02  1.068E-01  515.48 um    19.36 um     3.69 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  1.5848E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
