 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\a_in_He250torr.txt.txt

 Ion = Helium [2] , Mass = 4.001506 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   8.225E-03  5.352E-06  261.16 mm     8.73 mm     4.55 mm  
   3.00 MeV   7.755E-03  4.956E-06  292.45 mm     9.81 mm     4.75 mm  
   3.25 MeV   7.338E-03  4.617E-06  325.57 mm    10.89 mm     4.96 mm  
   3.50 MeV   6.965E-03  4.324E-06  360.53 mm    11.98 mm     5.18 mm  
   3.75 MeV   6.629E-03  4.068E-06  397.30 mm    13.09 mm     5.43 mm  
   4.00 MeV   6.327E-03  3.842E-06  435.89 mm    14.21 mm     5.68 mm  
   4.50 MeV   5.801E-03  3.460E-06  518.40 mm    18.43 mm     6.25 mm  
   5.00 MeV   5.360E-03  3.150E-06  608.03 mm    22.42 mm     6.88 mm  
   5.50 MeV   4.986E-03  2.894E-06  704.72 mm    26.31 mm     7.57 mm  
   6.00 MeV   4.663E-03  2.678E-06  808.38 mm    30.17 mm     8.32 mm  
   6.50 MeV   4.382E-03  2.493E-06  918.96 mm    34.04 mm     9.13 mm  
   7.00 MeV   4.135E-03  2.333E-06    1.04 m     37.93 mm    10.00 mm  
   8.00 MeV   3.720E-03  2.071E-06    1.29 m     52.44 mm    11.91 mm  
   9.00 MeV   3.415E-03  1.863E-06    1.57 m     65.87 mm    14.03 mm  
