 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12_in_He250torr.txt.txt

 Ion = Magnesium [12] , Mass = 23.97846 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   7.556E-02  6.596E-04   90.88 mm     3.74 mm     4.92 mm  
   3.25 MeV   7.953E-02  6.182E-04   94.07 mm     3.78 mm     4.96 mm  
   3.50 MeV   8.316E-02  5.820E-04   97.12 mm     3.81 mm     5.00 mm  
   3.75 MeV   8.646E-02  5.502E-04  100.04 mm     3.84 mm     5.03 mm  
   4.00 MeV   8.948E-02  5.219E-04  102.86 mm     3.87 mm     5.06 mm  
   4.50 MeV   9.475E-02  4.738E-04  108.25 mm     3.96 mm     5.12 mm  
   5.00 MeV   9.918E-02  4.343E-04  113.38 mm     4.04 mm     5.16 mm  
   5.50 MeV   1.029E-01  4.014E-04  118.30 mm     4.10 mm     5.20 mm  
   6.00 MeV   1.061E-01  3.734E-04  123.06 mm     4.17 mm     5.23 mm  
   6.50 MeV   1.088E-01  3.493E-04  127.70 mm     4.22 mm     5.27 mm  
   7.00 MeV   1.111E-01  3.284E-04  132.23 mm     4.28 mm     5.29 mm  
   8.00 MeV   1.147E-01  2.936E-04  141.06 mm     4.47 mm     5.34 mm  
   9.00 MeV   1.174E-01  2.659E-04  149.64 mm     4.64 mm     5.38 mm  
  10.00 MeV   1.194E-01  2.433E-04  158.07 mm     4.80 mm     5.42 mm  
  11.00 MeV   1.208E-01  2.244E-04  166.37 mm     4.94 mm     5.46 mm  
  12.00 MeV   1.218E-01  2.084E-04  174.60 mm     5.08 mm     5.49 mm  
  13.00 MeV   1.224E-01  1.947E-04  182.77 mm     5.22 mm     5.52 mm  
  14.00 MeV   1.227E-01  1.828E-04  190.92 mm     5.35 mm     5.55 mm  
  15.00 MeV   1.227E-01  1.723E-04  199.06 mm     5.48 mm     5.57 mm  
  16.00 MeV   1.226E-01  1.631E-04  207.20 mm     5.60 mm     5.60 mm  
  17.00 MeV   1.223E-01  1.548E-04  215.35 mm     5.72 mm     5.62 mm  
  18.00 MeV   1.219E-01  1.474E-04  223.53 mm     5.84 mm     5.64 mm  
  20.00 MeV   1.207E-01  1.347E-04  240.00 mm     6.29 mm     5.69 mm  
  22.50 MeV   1.188E-01  1.217E-04  260.86 mm     6.96 mm     5.74 mm  
  25.00 MeV   1.165E-01  1.111E-04  282.09 mm     7.59 mm     5.79 mm  
  27.50 MeV   1.141E-01  1.023E-04  303.76 mm     8.19 mm     5.84 mm  
  30.00 MeV   1.116E-01  9.484E-05  325.90 mm     8.77 mm     5.89 mm  
  32.50 MeV   1.090E-01  8.847E-05  348.54 mm     9.34 mm     5.94 mm  
  35.00 MeV   1.065E-01  8.295E-05  371.73 mm     9.90 mm     5.99 mm  
  37.50 MeV   1.040E-01  7.810E-05  395.47 mm    10.46 mm     6.04 mm  
  40.00 MeV   1.015E-01  7.383E-05  419.78 mm    11.02 mm     6.09 mm  
  45.00 MeV   9.685E-02  6.660E-05  470.18 mm    13.13 mm     6.19 mm  
  50.00 MeV   9.292E-02  6.073E-05  522.86 mm    15.10 mm     6.29 mm  
  55.00 MeV   8.915E-02  5.586E-05  577.77 mm    16.99 mm     6.40 mm  
  60.00 MeV   8.520E-02  5.175E-05  635.12 mm    18.83 mm     6.52 mm  
  65.00 MeV   8.186E-02  4.823E-05  694.97 mm    20.66 mm     6.64 mm  
  70.00 MeV   7.877E-02  4.518E-05  757.22 mm    22.46 mm     6.77 mm  
  80.00 MeV   7.325E-02  4.015E-05  888.85 mm    29.18 mm     7.04 mm  
  90.00 MeV   6.849E-02  3.618E-05    1.03 m     35.37 mm     7.35 mm  
 100.00 MeV   6.436E-02  3.296E-05    1.18 m     41.30 mm     7.68 mm  
 110.00 MeV   6.074E-02  3.028E-05    1.34 m     47.10 mm     8.05 mm  
 120.00 MeV   5.754E-02  2.803E-05    1.51 m     52.83 mm     8.44 mm  
 130.00 MeV   5.469E-02  2.610E-05    1.69 m     58.55 mm     8.87 mm  
 140.00 MeV   5.213E-02  2.444E-05    1.88 m     64.27 mm     9.33 mm  
 150.00 MeV   4.981E-02  2.298E-05    2.07 m     70.02 mm     9.81 mm  
 160.00 MeV   4.771E-02  2.169E-05    2.28 m     75.80 mm    10.33 mm  
 170.00 MeV   4.578E-02  2.055E-05    2.49 m     81.63 mm    10.88 mm  
 180.00 MeV   4.400E-02  1.953E-05    2.71 m     87.51 mm    11.46 mm  
 200.00 MeV   4.084E-02  1.777E-05    3.18 m    110.08 mm    12.70 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  1.8234E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
