 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\15C6_in_Mylar.txt

 Ion = Carbon [6] , Mass = 15.00731 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.963E+01  1.254E+02     420 A       148 A       108 A   
  11.00 keV   8.351E+01  1.222E+02     461 A       159 A       116 A   
  12.00 keV   8.723E+01  1.192E+02     501 A       170 A       125 A   
  13.00 keV   9.079E+01  1.164E+02     542 A       181 A       134 A   
  14.00 keV   9.422E+01  1.136E+02     582 A       192 A       142 A   
  15.00 keV   9.752E+01  1.111E+02     623 A       202 A       150 A   
  16.00 keV   1.007E+02  1.086E+02     663 A       212 A       159 A   
  17.00 keV   1.038E+02  1.063E+02     704 A       222 A       167 A   
  18.00 keV   1.068E+02  1.041E+02     745 A       232 A       175 A   
  20.00 keV   1.126E+02  9.992E+01     826 A       251 A       191 A   
  22.50 keV   1.194E+02  9.526E+01     927 A       274 A       211 A   
  25.00 keV   1.259E+02  9.108E+01    1028 A       295 A       230 A   
  27.50 keV   1.321E+02  8.731E+01    1129 A       316 A       249 A   
  30.00 keV   1.379E+02  8.390E+01    1228 A       335 A       268 A   
  32.50 keV   1.427E+02  8.078E+01    1328 A       354 A       286 A   
  35.00 keV   1.473E+02  7.793E+01    1427 A       372 A       304 A   
  37.50 keV   1.517E+02  7.530E+01    1526 A       389 A       321 A   
  40.00 keV   1.560E+02  7.288E+01    1624 A       406 A       338 A   
  45.00 keV   1.641E+02  6.854E+01    1820 A       438 A       371 A   
