 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\p_in_Mylar.txt.txt

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   9.697E+00  5.367E-03  324.71 um    13.68 um     9.49 um  
   6.00 MeV   9.053E+00  4.965E-03  377.98 um    15.76 um    10.97 um  
   6.50 MeV   8.497E+00  4.622E-03  434.88 um    17.85 um    12.54 um  
   7.00 MeV   8.011E+00  4.325E-03  495.38 um    19.96 um    14.20 um  
   8.00 MeV   7.201E+00  3.836E-03  626.82 um    27.58 um    17.80 um  
   9.00 MeV   6.552E+00  3.451E-03  772.18 um    34.72 um    21.75 um  
  10.00 MeV   6.019E+00  3.138E-03  931.16 um    41.71 um    26.04 um  
  11.00 MeV   5.573E+00  2.880E-03    1.10 mm    48.69 um    30.68 um  
  12.00 MeV   5.195E+00  2.663E-03    1.29 mm    55.73 um    35.65 um  
  13.00 MeV   4.868E+00  2.477E-03    1.49 mm    62.85 um    40.94 um  
  14.00 MeV   4.584E+00  2.317E-03    1.70 mm    70.08 um    46.56 um  
  15.00 MeV   4.334E+00  2.176E-03    1.92 mm    77.43 um    52.49 um  
  16.00 MeV   4.113E+00  2.053E-03    2.16 mm    84.90 um    58.73 um  
  17.00 MeV   3.915E+00  1.943E-03    2.41 mm    92.50 um    65.29 um  
  18.00 MeV   3.737E+00  1.845E-03    2.67 mm   100.24 um    72.14 um  
  20.00 MeV   3.430E+00  1.677E-03    3.23 mm   128.76 um    86.76 um  
  22.50 MeV   3.116E+00  1.507E-03    3.99 mm   169.53 um   106.67 um  
  25.00 MeV   2.860E+00  1.369E-03    4.83 mm   208.28 um   128.36 um  
  27.50 MeV   2.647E+00  1.256E-03    5.73 mm   246.34 um   151.79 um  
  30.00 MeV   2.466E+00  1.160E-03    6.71 mm   284.30 um   176.91 um  
  32.50 MeV   2.311E+00  1.078E-03    7.76 mm   322.45 um   203.69 um  
