 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\6He2_in_Mylar.txt

 Ion = Helium [2] , Mass = 6.017788 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -0.83%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   1.381E+02  1.037E-01   30.73 um     1.09 um     5717 A   
   6.50 MeV   1.309E+02  9.664E-02   34.45 um     1.22 um     6147 A   
   7.00 MeV   1.244E+02  9.053E-02   38.36 um     1.34 um     6600 A   
   8.00 MeV   1.133E+02  8.046E-02   46.78 um     1.80 um     7581 A   
   9.00 MeV   1.042E+02  7.250E-02   55.98 um     2.23 um     8658 A   
  10.00 MeV   9.647E+01  6.604E-02   65.95 um     2.65 um     9827 A   
  11.00 MeV   8.990E+01  6.068E-02   76.68 um     3.07 um     1.11 um  
  12.00 MeV   8.423E+01  5.616E-02   88.16 um     3.48 um     1.24 um  
  13.00 MeV   8.010E+01  5.230E-02  100.33 um     3.90 um     1.39 um  
  14.00 MeV   7.602E+01  4.896E-02  113.13 um     4.31 um     1.54 um  
  15.00 MeV   7.209E+01  4.604E-02  126.64 um     4.73 um     1.69 um  
  16.00 MeV   6.860E+01  4.346E-02  140.85 um     5.15 um     1.86 um  
  17.00 MeV   6.547E+01  4.117E-02  155.76 um     5.58 um     2.03 um  
  18.00 MeV   6.265E+01  3.912E-02  171.36 um     6.02 um     2.21 um  
  20.00 MeV   5.774E+01  3.560E-02  204.60 um     7.66 um     2.60 um  
  22.50 MeV   5.268E+01  3.204E-02  249.91 um    10.03 um     3.12 um  
  25.00 MeV   4.851E+01  2.915E-02  299.34 um    12.26 um     3.69 um  
  27.50 MeV   4.501E+01  2.675E-02  352.82 um    14.45 um     4.30 um  
  30.00 MeV   4.203E+01  2.474E-02  410.27 um    16.62 um     4.95 um  
  32.50 MeV   3.945E+01  2.302E-02  471.64 um    18.79 um     5.64 um  
  35.00 MeV   3.719E+01  2.153E-02  536.87 um    20.99 um     6.38 um  
  37.50 MeV   3.521E+01  2.024E-02  605.92 um    23.20 um     7.15 um  
  40.00 MeV   3.344E+01  1.909E-02  678.75 um    25.44 um     7.97 um  
  45.00 MeV   3.043E+01  1.716E-02  835.44 um    33.84 um     9.71 um  
  50.00 MeV   2.796E+01  1.560E-02    1.01 mm    41.74 um    11.62 um  
  55.00 MeV   2.589E+01  1.432E-02    1.19 mm    49.44 um    13.67 um  
  60.00 MeV   2.413E+01  1.323E-02    1.39 mm    57.08 um    15.87 um  
  65.00 MeV   2.262E+01  1.230E-02    1.61 mm    64.74 um    18.21 um  
  70.00 MeV   2.130E+01  1.150E-02    1.83 mm    72.46 um    20.69 um  
  80.00 MeV   1.910E+01  1.019E-02    2.33 mm   101.10 um    26.09 um  
  90.00 MeV   1.736E+01  9.155E-03    2.88 mm   127.78 um    32.02 um  
 100.00 MeV   1.593E+01  8.318E-03    3.48 mm   153.81 um    38.49 um  
 110.00 MeV   1.474E+01  7.626E-03    4.13 mm   179.72 um    45.48 um  
 120.00 MeV   1.372E+01  7.044E-03    4.84 mm   205.76 um    52.98 um  
 130.00 MeV   1.286E+01  6.548E-03    5.59 mm   232.06 um    60.98 um  
 140.00 MeV   1.210E+01  6.120E-03    6.39 mm   258.70 um    69.47 um  
 150.00 MeV   1.144E+01  5.746E-03    7.24 mm   285.72 um    78.44 um  
 160.00 MeV   1.085E+01  5.417E-03    8.14 mm   313.13 um    87.89 um  
 170.00 MeV   1.033E+01  5.124E-03    9.08 mm   340.95 um    97.80 um  
 180.00 MeV   9.862E+00  4.863E-03   10.07 mm   369.18 um   108.17 um  
 200.00 MeV   9.054E+00  4.416E-03   12.19 mm   476.36 um   130.27 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  6.8866E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
