 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\29P15_in_He250torr.txt

 Ion = Phosphorus [15] , Mass = 28.97357 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   7.894E-02  1.146E-03   72.98 mm     2.92 mm     3.64 mm  
   3.25 MeV   8.305E-02  1.075E-03   76.02 mm     2.96 mm     3.69 mm  
   3.50 MeV   8.685E-02  1.014E-03   78.92 mm     3.00 mm     3.74 mm  
   3.75 MeV   9.038E-02  9.592E-04   81.71 mm     3.04 mm     3.78 mm  
   4.00 MeV   9.366E-02  9.107E-04   84.39 mm     3.07 mm     3.81 mm  
   4.50 MeV   9.956E-02  8.282E-04   89.51 mm     3.17 mm     3.88 mm  
   5.00 MeV   1.047E-01  7.604E-04   94.36 mm     3.26 mm     3.93 mm  
   5.50 MeV   1.093E-01  7.036E-04   99.00 mm     3.34 mm     3.98 mm  
   6.00 MeV   1.134E-01  6.553E-04  103.46 mm     3.41 mm     4.02 mm  
   6.50 MeV   1.170E-01  6.137E-04  107.77 mm     3.47 mm     4.06 mm  
   7.00 MeV   1.204E-01  5.774E-04  111.96 mm     3.53 mm     4.09 mm  
   8.00 MeV   1.261E-01  5.171E-04  120.03 mm     3.72 mm     4.15 mm  
   9.00 MeV   1.310E-01  4.689E-04  127.77 mm     3.89 mm     4.21 mm  
  10.00 MeV   1.351E-01  4.295E-04  135.26 mm     4.04 mm     4.25 mm  
  11.00 MeV   1.386E-01  3.967E-04  142.54 mm     4.17 mm     4.29 mm  
  12.00 MeV   1.416E-01  3.688E-04  149.65 mm     4.30 mm     4.33 mm  
  13.00 MeV   1.441E-01  3.448E-04  156.63 mm     4.42 mm     4.36 mm  
  14.00 MeV   1.463E-01  3.239E-04  163.50 mm     4.53 mm     4.40 mm  
  15.00 MeV   1.481E-01  3.056E-04  170.28 mm     4.63 mm     4.43 mm  
  16.00 MeV   1.497E-01  2.893E-04  176.98 mm     4.73 mm     4.45 mm  
  17.00 MeV   1.509E-01  2.749E-04  183.61 mm     4.83 mm     4.48 mm  
  18.00 MeV   1.520E-01  2.618E-04  190.20 mm     4.92 mm     4.50 mm  
  20.00 MeV   1.534E-01  2.394E-04  203.27 mm     5.27 mm     4.55 mm  
  22.50 MeV   1.543E-01  2.165E-04  219.49 mm     5.75 mm     4.60 mm  
  25.00 MeV   1.544E-01  1.979E-04  235.66 mm     6.19 mm     4.65 mm  
  27.50 MeV   1.539E-01  1.823E-04  251.86 mm     6.61 mm     4.70 mm  
  30.00 MeV   1.529E-01  1.692E-04  268.14 mm     7.00 mm     4.75 mm  
  32.50 MeV   1.515E-01  1.579E-04  284.55 mm     7.38 mm     4.79 mm  
  35.00 MeV   1.499E-01  1.481E-04  301.12 mm     7.75 mm     4.83 mm  
  37.50 MeV   1.481E-01  1.396E-04  317.88 mm     8.11 mm     4.87 mm  
  40.00 MeV   1.461E-01  1.320E-04  334.86 mm     8.46 mm     4.91 mm  
  45.00 MeV   1.420E-01  1.192E-04  369.54 mm     9.79 mm     5.00 mm  
  50.00 MeV   1.377E-01  1.087E-04  405.28 mm    11.02 mm     5.08 mm  
  55.00 MeV   1.334E-01  1.001E-04  442.15 mm    12.20 mm     5.16 mm  
  60.00 MeV   1.297E-01  9.277E-05  480.13 mm    13.33 mm     5.24 mm  
  65.00 MeV   1.262E-01  8.650E-05  519.18 mm    14.44 mm     5.32 mm  
  70.00 MeV   1.219E-01  8.107E-05  559.47 mm    15.52 mm     5.41 mm  
  80.00 MeV   1.150E-01  7.212E-05  643.91 mm    19.59 mm     5.59 mm  
  90.00 MeV   1.087E-01  6.503E-05  733.35 mm    23.33 mm     5.77 mm  
 100.00 MeV   1.030E-01  5.927E-05  827.83 mm    26.89 mm     5.98 mm  
 110.00 MeV   9.793E-02  5.449E-05  927.36 mm    30.36 mm     6.19 mm  
 120.00 MeV   9.334E-02  5.046E-05    1.03 m     33.78 mm     6.42 mm  
 130.00 MeV   8.919E-02  4.702E-05    1.14 m     37.17 mm     6.66 mm  
 140.00 MeV   8.543E-02  4.403E-05    1.26 m     40.55 mm     6.91 mm  
 150.00 MeV   8.199E-02  4.142E-05    1.38 m     43.94 mm     7.18 mm  
 160.00 MeV   7.884E-02  3.911E-05    1.50 m     47.34 mm     7.47 mm  
 170.00 MeV   7.595E-02  3.707E-05    1.63 m     50.75 mm     7.77 mm  
 180.00 MeV   7.328E-02  3.523E-05    1.76 m     54.18 mm     8.08 mm  
 200.00 MeV   6.850E-02  3.208E-05    2.05 m     67.31 mm     8.75 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  1.5077E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
