 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\p_in_He250torr.txt.txt

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   7.677E-04  4.202E-07    1.87 m     77.92 mm    31.85 mm  
   2.75 MeV   7.121E-04  3.858E-07    2.21 m     91.82 mm    37.23 mm  
   3.00 MeV   6.647E-04  3.568E-07    2.57 m    105.65 mm    42.98 mm  
   3.25 MeV   6.237E-04  3.320E-07    2.96 m    119.53 mm    49.11 mm  
   3.50 MeV   5.878E-04  3.106E-07    3.37 m    133.52 mm    55.60 mm  
   3.75 MeV   5.562E-04  2.919E-07    3.81 m    147.67 mm    62.46 mm  
   4.00 MeV   5.281E-04  2.754E-07    4.27 m    162.00 mm    69.67 mm  
   4.50 MeV   4.802E-04  2.476E-07    5.26 m    215.44 mm    85.15 mm  
   5.00 MeV   4.408E-04  2.252E-07    6.35 m    265.75 mm   102.01 mm  
   5.50 MeV   4.079E-04  2.066E-07    7.53 m    314.92 mm   120.21 mm  
   6.00 MeV   3.800E-04  1.909E-07    8.79 m    363.81 mm   139.74 mm  
   6.50 MeV   3.559E-04  1.776E-07   10.15 m    412.88 mm   160.58 mm  
   7.00 MeV   3.349E-04  1.661E-07   11.60 m    462.38 mm   182.69 mm  
   8.00 MeV   3.001E-04  1.471E-07   14.75 m    645.27 mm   230.72 mm  
   9.00 MeV   2.723E-04  1.322E-07   18.25 m    816.04 mm   283.69 mm  
  10.00 MeV   2.496E-04  1.201E-07   22.08 m    983.08 mm   341.50 mm  
  11.00 MeV   2.307E-04  1.101E-07   26.25 m      1.15 m    404.04 mm  
  12.00 MeV   2.146E-04  1.017E-07   30.74 m      1.32 m    471.24 mm  
  13.00 MeV   2.009E-04  9.457E-08   35.55 m      1.49 m    543.00 mm  
  14.00 MeV   1.889E-04  8.839E-08   40.69 m      1.66 m    619.27 mm  
  15.00 MeV   1.784E-04  8.300E-08   46.13 m      1.83 m    699.97 mm  
  16.00 MeV   1.691E-04  7.825E-08   51.88 m      2.01 m    785.04 mm  
  17.00 MeV   1.608E-04  7.403E-08   57.95 m      2.19 m    874.43 mm  
  18.00 MeV   1.533E-04  7.026E-08   64.31 m      2.38 m    968.07 mm  
  20.00 MeV   1.405E-04  6.381E-08   77.93 m      3.07 m      1.17 m   
  22.50 MeV   1.274E-04  5.728E-08   96.61 m      4.07 m      1.44 m   
  25.00 MeV   1.168E-04  5.201E-08  117.09 m      5.01 m      1.74 m   
  27.50 MeV   1.080E-04  4.766E-08  139.34 m      5.93 m      2.06 m   
  30.00 MeV   1.005E-04  4.400E-08  163.33 m      6.85 m      2.41 m   
