 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\15N7in_Mylar.txt

 Ion = Nitrogen [7] , Mass = 14.99627 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.296E+03  2.303E+00    6.86 um     2383 A      2749 A   
   7.00 MeV   1.297E+03  2.163E+00    7.24 um     2454 A      2788 A   
   8.00 MeV   1.292E+03  1.930E+00    8.01 um     2701 A      2862 A   
   9.00 MeV   1.280E+03  1.746E+00    8.79 um     2930 A      2931 A   
  10.00 MeV   1.263E+03  1.596E+00    9.58 um     3147 A      2998 A   
  11.00 MeV   1.243E+03  1.470E+00   10.37 um     3355 A      3063 A   
  12.00 MeV   1.221E+03  1.364E+00   11.18 um     3557 A      3126 A   
  13.00 MeV   1.198E+03  1.274E+00   12.01 um     3755 A      3189 A   
  14.00 MeV   1.175E+03  1.195E+00   12.85 um     3950 A      3251 A   
  15.00 MeV   1.151E+03  1.126E+00   13.71 um     4143 A      3313 A   
  16.00 MeV   1.127E+03  1.065E+00   14.59 um     4336 A      3375 A   
  17.00 MeV   1.104E+03  1.010E+00   15.48 um     4527 A      3438 A   
  18.00 MeV   1.082E+03  9.612E-01   16.40 um     4718 A      3501 A   
  20.00 MeV   1.039E+03  8.771E-01   18.28 um     5438 A      3629 A   
  22.50 MeV   9.886E+02  7.916E-01   20.75 um     6481 A      3793 A   
  25.00 MeV   9.424E+02  7.221E-01   23.33 um     7463 A      3964 A   
  27.50 MeV   9.001E+02  6.644E-01   26.05 um     8412 A      4142 A   
  30.00 MeV   8.612E+02  6.156E-01   28.88 um     9340 A      4327 A   
  32.50 MeV   8.348E+02  5.739E-01   31.83 um     1.02 um     4518 A   
  35.00 MeV   8.051E+02  5.377E-01   34.88 um     1.11 um     4717 A   
  37.50 MeV   7.743E+02  5.061E-01   38.04 um     1.20 um     4922 A   
  40.00 MeV   7.459E+02  4.781E-01   41.33 um     1.29 um     5136 A   
  45.00 MeV   6.955E+02  4.310E-01   48.27 um     1.63 um     5588 A   
  50.00 MeV   6.519E+02  3.927E-01   55.69 um     1.94 um     6071 A   
  55.00 MeV   6.138E+02  3.609E-01   63.59 um     2.24 um     6588 A   
  60.00 MeV   5.802E+02  3.342E-01   71.97 um     2.54 um     7136 A   
  65.00 MeV   5.502E+02  3.113E-01   80.82 um     2.83 um     7715 A   
  70.00 MeV   5.234E+02  2.914E-01   90.13 um     3.13 um     8326 A   
  80.00 MeV   4.772E+02  2.588E-01  110.14 um     4.23 um     9641 A   
  90.00 MeV   4.388E+02  2.330E-01  131.98 um     5.24 um     1.11 um  
 100.00 MeV   4.064E+02  2.121E-01  155.66 um     6.23 um     1.26 um  
 110.00 MeV   3.786E+02  1.948E-01  181.15 um     7.20 um     1.43 um  
 120.00 MeV   3.546E+02  1.802E-01  208.43 um     8.18 um     1.61 um  
 130.00 MeV   3.335E+02  1.678E-01  237.51 um     9.17 um     1.80 um  
 140.00 MeV   3.148E+02  1.570E-01  268.37 um    10.16 um     2.00 um  
 150.00 MeV   2.982E+02  1.476E-01  300.99 um    11.17 um     2.21 um  
 160.00 MeV   2.834E+02  1.393E-01  335.38 um    12.19 um     2.43 um  
 170.00 MeV   2.700E+02  1.319E-01  371.52 um    13.23 um     2.66 um  
 180.00 MeV   2.579E+02  1.253E-01  409.41 um    14.29 um     2.91 um  
 200.00 MeV   2.367E+02  1.139E-01  490.35 um    18.33 um     3.43 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  1.5443E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
