 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si13_in_He250torr.txt.txt

 Ion = Silicon [14] , Mass = 25.9852 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   8.542E-02  9.275E-04   71.64 mm     2.83 mm     3.57 mm  
   3.25 MeV   8.957E-02  8.699E-04   74.46 mm     2.87 mm     3.61 mm  
   3.50 MeV   9.338E-02  8.196E-04   77.16 mm     2.90 mm     3.65 mm  
   3.75 MeV   9.688E-02  7.752E-04   79.76 mm     2.94 mm     3.68 mm  
   4.00 MeV   1.001E-01  7.357E-04   82.28 mm     2.97 mm     3.71 mm  
   4.50 MeV   1.059E-01  6.685E-04   87.09 mm     3.06 mm     3.77 mm  
   5.00 MeV   1.109E-01  6.134E-04   91.67 mm     3.14 mm     3.81 mm  
   5.50 MeV   1.153E-01  5.673E-04   96.07 mm     3.21 mm     3.85 mm  
   6.00 MeV   1.191E-01  5.281E-04  100.31 mm     3.27 mm     3.89 mm  
   6.50 MeV   1.225E-01  4.943E-04  104.43 mm     3.33 mm     3.92 mm  
   7.00 MeV   1.255E-01  4.649E-04  108.44 mm     3.38 mm     3.95 mm  
   8.00 MeV   1.307E-01  4.161E-04  116.21 mm     3.57 mm     4.00 mm  
   9.00 MeV   1.348E-01  3.771E-04  123.72 mm     3.73 mm     4.04 mm  
  10.00 MeV   1.382E-01  3.452E-04  131.02 mm     3.88 mm     4.08 mm  
  11.00 MeV   1.409E-01  3.187E-04  138.16 mm     4.01 mm     4.12 mm  
  12.00 MeV   1.430E-01  2.961E-04  145.19 mm     4.14 mm     4.15 mm  
  13.00 MeV   1.447E-01  2.768E-04  152.12 mm     4.26 mm     4.18 mm  
  14.00 MeV   1.460E-01  2.599E-04  158.99 mm     4.37 mm     4.21 mm  
  15.00 MeV   1.469E-01  2.452E-04  165.80 mm     4.48 mm     4.23 mm  
  16.00 MeV   1.476E-01  2.321E-04  172.58 mm     4.59 mm     4.26 mm  
  17.00 MeV   1.479E-01  2.204E-04  179.34 mm     4.69 mm     4.28 mm  
  18.00 MeV   1.481E-01  2.099E-04  186.08 mm     4.79 mm     4.31 mm  
  20.00 MeV   1.479E-01  1.918E-04  199.57 mm     5.16 mm     4.35 mm  
  22.50 MeV   1.469E-01  1.734E-04  216.51 mm     5.70 mm     4.40 mm  
  25.00 MeV   1.452E-01  1.584E-04  233.61 mm     6.19 mm     4.45 mm  
  27.50 MeV   1.431E-01  1.459E-04  250.93 mm     6.67 mm     4.49 mm  
  30.00 MeV   1.408E-01  1.354E-04  268.52 mm     7.12 mm     4.54 mm  
  32.50 MeV   1.383E-01  1.263E-04  286.42 mm     7.56 mm     4.58 mm  
  35.00 MeV   1.356E-01  1.185E-04  304.66 mm     7.99 mm     4.63 mm  
  37.50 MeV   1.330E-01  1.116E-04  323.26 mm     8.42 mm     4.67 mm  
  40.00 MeV   1.303E-01  1.055E-04  342.24 mm     8.84 mm     4.72 mm  
  45.00 MeV   1.250E-01  9.524E-05  381.40 mm    10.44 mm     4.81 mm  
  50.00 MeV   1.199E-01  8.688E-05  422.22 mm    11.93 mm     4.90 mm  
  55.00 MeV   1.159E-01  7.994E-05  464.61 mm    13.36 mm     4.99 mm  
  60.00 MeV   1.116E-01  7.408E-05  508.57 mm    14.74 mm     5.09 mm  
  65.00 MeV   1.072E-01  6.906E-05  554.27 mm    16.10 mm     5.19 mm  
  70.00 MeV   1.034E-01  6.471E-05  601.73 mm    17.45 mm     5.29 mm  
  80.00 MeV   9.670E-02  5.754E-05  701.69 mm    22.47 mm     5.51 mm  
  90.00 MeV   9.085E-02  5.187E-05  808.36 mm    27.07 mm     5.75 mm  
 100.00 MeV   8.574E-02  4.726E-05  921.64 mm    31.47 mm     6.01 mm  
 110.00 MeV   8.125E-02  4.344E-05    1.04 m     35.75 mm     6.30 mm  
 120.00 MeV   7.726E-02  4.022E-05    1.17 m     39.96 mm     6.60 mm  
 130.00 MeV   7.371E-02  3.747E-05    1.30 m     44.14 mm     6.92 mm  
 140.00 MeV   7.052E-02  3.508E-05    1.44 m     48.31 mm     7.26 mm  
 150.00 MeV   6.762E-02  3.300E-05    1.58 m     52.48 mm     7.62 mm  
 160.00 MeV   6.499E-02  3.116E-05    1.73 m     56.66 mm     8.00 mm  
 170.00 MeV   6.257E-02  2.952E-05    1.89 m     60.85 mm     8.40 mm  
 180.00 MeV   6.034E-02  2.805E-05    2.05 m     65.07 mm     8.82 mm  
 200.00 MeV   5.635E-02  2.554E-05    2.40 m     81.18 mm     9.71 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  1.6085E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
