 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\14C6_in_Mylar.txt

 Ion = Carbon [6] , Mass = 13.99995 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.075E+03  1.631E+00    7.89 um     2640 A      2927 A   
   7.00 MeV   1.069E+03  1.531E+00    8.36 um     2730 A      2971 A   
   8.00 MeV   1.053E+03  1.366E+00    9.30 um     3055 A      3057 A   
   9.00 MeV   1.032E+03  1.235E+00   10.25 um     3358 A      3139 A   
  10.00 MeV   1.009E+03  1.128E+00   11.23 um     3646 A      3218 A   
  11.00 MeV   9.848E+02  1.039E+00   12.23 um     3926 A      3297 A   
  12.00 MeV   9.601E+02  9.637E-01   13.26 um     4199 A      3376 A   
  13.00 MeV   9.357E+02  8.992E-01   14.32 um     4469 A      3454 A   
  14.00 MeV   9.117E+02  8.433E-01   15.40 um     4737 A      3533 A   
  15.00 MeV   8.885E+02  7.943E-01   16.51 um     5003 A      3613 A   
  16.00 MeV   8.662E+02  7.510E-01   17.65 um     5268 A      3694 A   
  17.00 MeV   8.447E+02  7.124E-01   18.81 um     5534 A      3776 A   
  18.00 MeV   8.241E+02  6.778E-01   20.01 um     5800 A      3859 A   
  20.00 MeV   7.854E+02  6.183E-01   22.49 um     6804 A      4031 A   
  22.50 MeV   7.417E+02  5.578E-01   25.77 um     8255 A      4255 A   
  25.00 MeV   7.025E+02  5.086E-01   29.23 um     9623 A      4491 A   
  27.50 MeV   6.672E+02  4.678E-01   32.88 um     1.09 um     4739 A   
  30.00 MeV   6.418E+02  4.333E-01   36.70 um     1.22 um     4999 A   
  32.50 MeV   6.160E+02  4.039E-01   40.67 um     1.35 um     5271 A   
  35.00 MeV   5.893E+02  3.783E-01   44.82 um     1.47 um     5554 A   
  37.50 MeV   5.650E+02  3.560E-01   49.15 um     1.60 um     5849 A   
  40.00 MeV   5.427E+02  3.363E-01   53.66 um     1.72 um     6158 A   
  45.00 MeV   5.035E+02  3.030E-01   63.22 um     2.20 um     6813 A   
  50.00 MeV   4.698E+02  2.760E-01   73.50 um     2.64 um     7519 A   
  55.00 MeV   4.406E+02  2.536E-01   84.49 um     3.07 um     8274 A   
  60.00 MeV   4.149E+02  2.347E-01   96.18 um     3.49 um     9079 A   
  65.00 MeV   3.922E+02  2.186E-01  108.57 um     3.91 um     9932 A   
  70.00 MeV   3.719E+02  2.046E-01  121.66 um     4.33 um     1.08 um  
  80.00 MeV   3.372E+02  1.817E-01  149.89 um     5.90 um     1.28 um  
  90.00 MeV   3.085E+02  1.635E-01  180.89 um     7.36 um     1.49 um  
 100.00 MeV   2.844E+02  1.488E-01  214.65 um     8.79 um     1.72 um  
 110.00 MeV   2.639E+02  1.366E-01  251.14 um    10.20 um     1.97 um  
 120.00 MeV   2.462E+02  1.264E-01  290.36 um    11.63 um     2.24 um  
 130.00 MeV   2.308E+02  1.176E-01  332.30 um    13.06 um     2.52 um  
 140.00 MeV   2.173E+02  1.100E-01  376.95 um    14.53 um     2.83 um  
 150.00 MeV   2.053E+02  1.034E-01  424.29 um    16.01 um     3.15 um  
 160.00 MeV   1.946E+02  9.759E-02  474.31 um    17.52 um     3.49 um  
 170.00 MeV   1.850E+02  9.240E-02  527.00 um    19.06 um     3.84 um  
 180.00 MeV   1.764E+02  8.777E-02  582.33 um    20.62 um     4.21 um  
 200.00 MeV   1.615E+02  7.981E-02  700.82 um    26.61 um     5.01 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  1.7965E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
