 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 13, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\27Al13_in_He250Torr.txt

 Ion = Aluminum [13] , Mass = 26.97441 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   7.150E-02  8.389E-04   88.24 mm     3.56 mm     4.58 mm  
   3.25 MeV   7.558E-02  7.866E-04   91.59 mm     3.60 mm     4.63 mm  
   3.50 MeV   7.937E-02  7.410E-04   94.78 mm     3.65 mm     4.67 mm  
   3.75 MeV   8.289E-02  7.007E-04   97.83 mm     3.68 mm     4.72 mm  
   4.00 MeV   8.617E-02  6.650E-04  100.76 mm     3.71 mm     4.75 mm  
   4.50 MeV   9.207E-02  6.041E-04  106.32 mm     3.81 mm     4.81 mm  
   5.00 MeV   9.719E-02  5.542E-04  111.57 mm     3.90 mm     4.87 mm  
   5.50 MeV   1.016E-01  5.125E-04  116.56 mm     3.97 mm     4.91 mm  
   6.00 MeV   1.056E-01  4.770E-04  121.36 mm     4.04 mm     4.95 mm  
   6.50 MeV   1.090E-01  4.464E-04  126.00 mm     4.10 mm     4.99 mm  
   7.00 MeV   1.120E-01  4.198E-04  130.50 mm     4.15 mm     5.02 mm  
   8.00 MeV   1.171E-01  3.756E-04  139.19 mm     4.34 mm     5.08 mm  
   9.00 MeV   1.210E-01  3.404E-04  147.56 mm     4.51 mm     5.13 mm  
  10.00 MeV   1.242E-01  3.116E-04  155.69 mm     4.66 mm     5.17 mm  
  11.00 MeV   1.267E-01  2.876E-04  163.64 mm     4.81 mm     5.21 mm  
  12.00 MeV   1.286E-01  2.672E-04  171.46 mm     4.94 mm     5.24 mm  
  13.00 MeV   1.300E-01  2.497E-04  179.17 mm     5.06 mm     5.27 mm  
  14.00 MeV   1.311E-01  2.345E-04  186.81 mm     5.18 mm     5.30 mm  
  15.00 MeV   1.319E-01  2.212E-04  194.40 mm     5.30 mm     5.33 mm  
  16.00 MeV   1.325E-01  2.093E-04  201.95 mm     5.41 mm     5.36 mm  
  17.00 MeV   1.327E-01  1.988E-04  209.48 mm     5.51 mm     5.38 mm  
  18.00 MeV   1.328E-01  1.893E-04  216.99 mm     5.62 mm     5.41 mm  
  20.00 MeV   1.326E-01  1.730E-04  232.04 mm     6.02 mm     5.45 mm  
  22.50 MeV   1.316E-01  1.564E-04  250.94 mm     6.59 mm     5.50 mm  
  25.00 MeV   1.300E-01  1.428E-04  270.03 mm     7.13 mm     5.55 mm  
  27.50 MeV   1.282E-01  1.316E-04  289.38 mm     7.64 mm     5.60 mm  
  30.00 MeV   1.261E-01  1.220E-04  309.02 mm     8.13 mm     5.65 mm  
  32.50 MeV   1.238E-01  1.139E-04  329.01 mm     8.62 mm     5.70 mm  
  35.00 MeV   1.215E-01  1.068E-04  349.37 mm     9.09 mm     5.74 mm  
  37.50 MeV   1.192E-01  1.006E-04  370.13 mm     9.56 mm     5.79 mm  
  40.00 MeV   1.168E-01  9.509E-05  391.30 mm    10.02 mm     5.83 mm  
  45.00 MeV   1.122E-01  8.582E-05  434.94 mm    11.77 mm     5.92 mm  
  50.00 MeV   1.078E-01  7.828E-05  480.37 mm    13.42 mm     6.02 mm  
  55.00 MeV   1.039E-01  7.202E-05  527.60 mm    15.00 mm     6.11 mm  
  60.00 MeV   1.006E-01  6.673E-05  576.49 mm    16.52 mm     6.21 mm  
  65.00 MeV   9.660E-02  6.221E-05  627.20 mm    18.02 mm     6.31 mm  
  70.00 MeV   9.332E-02  5.829E-05  679.84 mm    19.50 mm     6.42 mm  
  80.00 MeV   8.741E-02  5.182E-05  790.54 mm    25.02 mm     6.64 mm  
  90.00 MeV   8.225E-02  4.671E-05  908.45 mm    30.08 mm     6.89 mm  
 100.00 MeV   7.772E-02  4.256E-05    1.03 m     34.90 mm     7.15 mm  
 110.00 MeV   7.373E-02  3.912E-05    1.17 m     39.59 mm     7.44 mm  
 120.00 MeV   7.018E-02  3.622E-05    1.30 m     44.21 mm     7.74 mm  
 130.00 MeV   6.700E-02  3.373E-05    1.45 m     48.79 mm     8.07 mm  
 140.00 MeV   6.413E-02  3.158E-05    1.60 m     53.36 mm     8.42 mm  
 150.00 MeV   6.153E-02  2.971E-05    1.76 m     57.92 mm     8.79 mm  
 160.00 MeV   5.915E-02  2.805E-05    1.93 m     62.49 mm     9.18 mm  
 170.00 MeV   5.697E-02  2.657E-05    2.10 m     67.08 mm     9.59 mm  
 180.00 MeV   5.495E-02  2.525E-05    2.28 m     71.69 mm    10.03 mm  
 200.00 MeV   5.133E-02  2.299E-05    2.66 m     89.33 mm    10.95 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  1.6908E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
