 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13_in_He250torr.txt.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   7.540E-02  7.872E-04   84.68 mm     3.43 mm     4.44 mm  
   3.25 MeV   7.950E-02  7.380E-04   87.87 mm     3.48 mm     4.49 mm  
   3.50 MeV   8.328E-02  6.950E-04   90.91 mm     3.51 mm     4.53 mm  
   3.75 MeV   8.679E-02  6.572E-04   93.82 mm     3.55 mm     4.57 mm  
   4.00 MeV   9.003E-02  6.236E-04   96.63 mm     3.58 mm     4.60 mm  
   4.50 MeV   9.581E-02  5.663E-04  101.96 mm     3.67 mm     4.66 mm  
   5.00 MeV   1.008E-01  5.194E-04  107.02 mm     3.75 mm     4.71 mm  
   5.50 MeV   1.051E-01  4.802E-04  111.84 mm     3.82 mm     4.75 mm  
   6.00 MeV   1.089E-01  4.469E-04  116.49 mm     3.89 mm     4.79 mm  
   6.50 MeV   1.121E-01  4.182E-04  121.00 mm     3.95 mm     4.82 mm  
   7.00 MeV   1.150E-01  3.932E-04  125.38 mm     4.00 mm     4.85 mm  
   8.00 MeV   1.197E-01  3.517E-04  133.87 mm     4.19 mm     4.90 mm  
   9.00 MeV   1.234E-01  3.187E-04  142.07 mm     4.36 mm     4.95 mm  
  10.00 MeV   1.262E-01  2.917E-04  150.06 mm     4.51 mm     4.99 mm  
  11.00 MeV   1.284E-01  2.691E-04  157.89 mm     4.65 mm     5.03 mm  
  12.00 MeV   1.300E-01  2.500E-04  165.61 mm     4.78 mm     5.06 mm  
  13.00 MeV   1.312E-01  2.336E-04  173.25 mm     4.91 mm     5.09 mm  
  14.00 MeV   1.320E-01  2.194E-04  180.84 mm     5.03 mm     5.12 mm  
  15.00 MeV   1.325E-01  2.069E-04  188.38 mm     5.15 mm     5.15 mm  
  16.00 MeV   1.328E-01  1.958E-04  195.91 mm     5.26 mm     5.17 mm  
  17.00 MeV   1.328E-01  1.859E-04  203.43 mm     5.37 mm     5.20 mm  
  18.00 MeV   1.327E-01  1.770E-04  210.95 mm     5.48 mm     5.22 mm  
  20.00 MeV   1.320E-01  1.618E-04  226.03 mm     5.88 mm     5.27 mm  
  22.50 MeV   1.305E-01  1.462E-04  245.06 mm     6.48 mm     5.32 mm  
  25.00 MeV   1.286E-01  1.335E-04  264.34 mm     7.03 mm     5.37 mm  
  27.50 MeV   1.263E-01  1.230E-04  283.93 mm     7.57 mm     5.42 mm  
  30.00 MeV   1.239E-01  1.140E-04  303.89 mm     8.08 mm     5.47 mm  
  32.50 MeV   1.214E-01  1.064E-04  324.25 mm     8.58 mm     5.51 mm  
  35.00 MeV   1.189E-01  9.977E-05  345.04 mm     9.08 mm     5.56 mm  
  37.50 MeV   1.164E-01  9.396E-05  366.27 mm     9.57 mm     5.61 mm  
  40.00 MeV   1.139E-01  8.883E-05  387.97 mm    10.05 mm     5.65 mm  
  45.00 MeV   1.090E-01  8.016E-05  432.82 mm    11.89 mm     5.75 mm  
  50.00 MeV   1.045E-01  7.311E-05  479.65 mm    13.62 mm     5.85 mm  
  55.00 MeV   1.010E-01  6.725E-05  528.30 mm    15.26 mm     5.95 mm  
  60.00 MeV   9.675E-02  6.231E-05  578.86 mm    16.86 mm     6.06 mm  
  65.00 MeV   9.321E-02  5.808E-05  631.49 mm    18.44 mm     6.17 mm  
  70.00 MeV   8.992E-02  5.442E-05  686.08 mm    20.00 mm     6.28 mm  
  80.00 MeV   8.404E-02  4.838E-05  801.10 mm    25.79 mm     6.53 mm  
  90.00 MeV   7.894E-02  4.360E-05  923.84 mm    31.10 mm     6.79 mm  
 100.00 MeV   7.450E-02  3.972E-05    1.05 m     36.16 mm     7.08 mm  
 110.00 MeV   7.060E-02  3.651E-05    1.19 m     41.09 mm     7.40 mm  
 120.00 MeV   6.713E-02  3.379E-05    1.34 m     45.95 mm     7.74 mm  
 130.00 MeV   6.404E-02  3.148E-05    1.49 m     50.77 mm     8.10 mm  
 140.00 MeV   6.125E-02  2.947E-05    1.65 m     55.57 mm     8.48 mm  
 150.00 MeV   5.871E-02  2.771E-05    1.82 m     60.38 mm     8.89 mm  
 160.00 MeV   5.640E-02  2.617E-05    1.99 m     65.20 mm     9.33 mm  
 170.00 MeV   5.427E-02  2.479E-05    2.17 m     70.04 mm     9.78 mm  
 180.00 MeV   5.230E-02  2.356E-05    2.36 m     74.91 mm    10.26 mm  
 200.00 MeV   4.877E-02  2.144E-05    2.75 m     93.55 mm    11.28 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  1.7083E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
