 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\4He2_in_Mylar.txt

 Ion = Helium [2] , Mass = 4.001506 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -0.83%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.642E+01  1.051E+01    1332 A       466 A       418 A   
  11.00 keV   5.920E+01  9.943E+00    1453 A       490 A       446 A   
  12.00 keV   6.185E+01  9.443E+00    1572 A       513 A       472 A   
  13.00 keV   6.441E+01  8.999E+00    1688 A       534 A       497 A   
  14.00 keV   6.687E+01  8.600E+00    1803 A       554 A       521 A   
  15.00 keV   6.924E+01  8.241E+00    1915 A       573 A       544 A   
  16.00 keV   7.153E+01  7.914E+00    2025 A       590 A       565 A   
  17.00 keV   7.376E+01  7.616E+00    2134 A       606 A       586 A   
  18.00 keV   7.591E+01  7.343E+00    2240 A       621 A       606 A   
  20.00 keV   8.004E+01  6.858E+00    2448 A       650 A       643 A   
  22.50 keV   8.490E+01  6.346E+00    2699 A       681 A       685 A   
  25.00 keV   8.945E+01  5.914E+00    2941 A       709 A       724 A   
  27.50 keV   9.373E+01  5.544E+00    3174 A       734 A       759 A   
  30.00 keV   9.776E+01  5.223E+00    3401 A       756 A       792 A   
  32.50 keV   1.016E+02  4.941E+00    3621 A       777 A       823 A   
  35.00 keV   1.052E+02  4.692E+00    3836 A       796 A       851 A   
  37.50 keV   1.086E+02  4.469E+00    4045 A       813 A       878 A   
  40.00 keV   1.118E+02  4.269E+00    4249 A       829 A       903 A   
