 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\2H1_in_Mylar.txt

 Ion = Hydrogen [1] , Mass = 2.013553 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.169E+01  1.876E+00    2432 A       689 A       698 A   
  11.00 keV   4.358E+01  1.758E+00    2631 A       713 A       732 A   
  12.00 keV   4.538E+01  1.656E+00    2824 A       735 A       764 A   
  13.00 keV   4.709E+01  1.566E+00    3012 A       755 A       794 A   
  14.00 keV   4.874E+01  1.487E+00    3196 A       774 A       821 A   
  15.00 keV   5.032E+01  1.416E+00    3374 A       791 A       847 A   
  16.00 keV   5.184E+01  1.352E+00    3549 A       807 A       872 A   
  17.00 keV   5.331E+01  1.295E+00    3720 A       821 A       895 A   
  18.00 keV   5.472E+01  1.243E+00    3888 A       835 A       917 A   
  20.00 keV   5.741E+01  1.151E+00    4213 A       860 A       958 A   
  22.50 keV   6.054E+01  1.056E+00    4603 A       888 A      1004 A   
  25.00 keV   6.344E+01  9.765E-01    4978 A       912 A      1045 A   
  27.50 keV   6.614E+01  9.094E-01    5339 A       934 A      1082 A   
  30.00 keV   6.867E+01  8.517E-01    5689 A       953 A      1117 A   
  32.50 keV   7.103E+01  8.017E-01    6027 A       970 A      1148 A   
  35.00 keV   7.324E+01  7.577E-01    6357 A       986 A      1178 A   
  37.50 keV   7.532E+01  7.187E-01    6678 A      1000 A      1205 A   
  40.00 keV   7.727E+01  6.839E-01    6992 A      1014 A      1230 A   
