 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\7Li3_in_Mylar.txt

 Ion = Lithium [3] , Mass = 7.014358 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   3.276E+02  2.553E-01   15.82 um     5273 A      4081 A   
   6.50 MeV   3.129E+02  2.380E-01   17.38 um     5740 A      4225 A   
   7.00 MeV   2.994E+02  2.231E-01   19.01 um     6211 A      4375 A   
   8.00 MeV   2.758E+02  1.985E-01   22.49 um     7967 A      4697 A   
   9.00 MeV   2.559E+02  1.790E-01   26.25 um     9623 A      5050 A   
  10.00 MeV   2.390E+02  1.632E-01   30.29 um     1.12 um     5433 A   
  11.00 MeV   2.245E+02  1.500E-01   34.60 um     1.28 um     5848 A   
  12.00 MeV   2.118E+02  1.390E-01   39.19 um     1.44 um     6293 A   
  13.00 MeV   2.008E+02  1.295E-01   44.03 um     1.60 um     6767 A   
  14.00 MeV   1.910E+02  1.213E-01   49.13 um     1.76 um     7271 A   
  15.00 MeV   1.831E+02  1.141E-01   54.48 um     1.92 um     7802 A   
  16.00 MeV   1.753E+02  1.077E-01   60.06 um     2.08 um     8360 A   
  17.00 MeV   1.674E+02  1.021E-01   65.89 um     2.25 um     8944 A   
  18.00 MeV   1.602E+02  9.705E-02   71.99 um     2.41 um     9556 A   
  20.00 MeV   1.476E+02  8.838E-02   84.99 um     3.04 um     1.09 um  
  22.50 MeV   1.347E+02  7.958E-02  102.72 um     3.96 um     1.27 um  
  25.00 MeV   1.240E+02  7.245E-02  122.06 um     4.82 um     1.46 um  
  27.50 MeV   1.151E+02  6.654E-02  142.98 um     5.67 um     1.67 um  
  30.00 MeV   1.074E+02  6.156E-02  165.45 um     6.52 um     1.90 um  
  32.50 MeV   1.009E+02  5.731E-02  189.46 um     7.37 um     2.14 um  
  35.00 MeV   9.511E+01  5.363E-02  214.97 um     8.22 um     2.40 um  
  37.50 MeV   9.004E+01  5.041E-02  241.98 um     9.08 um     2.68 um  
  40.00 MeV   8.552E+01  4.758E-02  270.45 um     9.96 um     2.96 um  
  45.00 MeV   7.784E+01  4.280E-02  331.72 um    13.24 um     3.58 um  
  50.00 MeV   7.153E+01  3.893E-02  398.70 um    16.32 um     4.25 um  
  55.00 MeV   6.625E+01  3.573E-02  471.31 um    19.32 um     4.98 um  
  60.00 MeV   6.176E+01  3.304E-02  549.46 um    22.31 um     5.76 um  
  65.00 MeV   5.788E+01  3.074E-02  633.06 um    25.30 um     6.59 um  
