 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 13, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\28Si14_in_He250Torr.txt

 Ion = Silicon [14] , Mass = 27.96925 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   8.159E-02  9.856E-04   74.41 mm     2.93 mm     3.67 mm  
   3.25 MeV   8.576E-02  9.245E-04   77.36 mm     2.97 mm     3.72 mm  
   3.50 MeV   8.960E-02  8.712E-04   80.18 mm     3.01 mm     3.76 mm  
   3.75 MeV   9.314E-02  8.241E-04   82.88 mm     3.04 mm     3.80 mm  
   4.00 MeV   9.643E-02  7.823E-04   85.50 mm     3.07 mm     3.83 mm  
   4.50 MeV   1.023E-01  7.110E-04   90.48 mm     3.17 mm     3.89 mm  
   5.00 MeV   1.074E-01  6.526E-04   95.21 mm     3.25 mm     3.93 mm  
   5.50 MeV   1.119E-01  6.036E-04   99.74 mm     3.32 mm     3.98 mm  
   6.00 MeV   1.159E-01  5.620E-04  104.11 mm     3.39 mm     4.01 mm  
   6.50 MeV   1.194E-01  5.261E-04  108.33 mm     3.45 mm     4.05 mm  
   7.00 MeV   1.225E-01  4.949E-04  112.45 mm     3.50 mm     4.08 mm  
   8.00 MeV   1.279E-01  4.430E-04  120.40 mm     3.69 mm     4.13 mm  
   9.00 MeV   1.323E-01  4.016E-04  128.05 mm     3.85 mm     4.18 mm  
  10.00 MeV   1.359E-01  3.678E-04  135.48 mm     4.00 mm     4.22 mm  
  11.00 MeV   1.388E-01  3.395E-04  142.74 mm     4.14 mm     4.26 mm  
  12.00 MeV   1.412E-01  3.156E-04  149.86 mm     4.26 mm     4.29 mm  
  13.00 MeV   1.432E-01  2.950E-04  156.87 mm     4.38 mm     4.32 mm  
  14.00 MeV   1.447E-01  2.771E-04  163.80 mm     4.50 mm     4.35 mm  
  15.00 MeV   1.459E-01  2.613E-04  170.67 mm     4.60 mm     4.37 mm  
  16.00 MeV   1.468E-01  2.474E-04  177.49 mm     4.71 mm     4.40 mm  
  17.00 MeV   1.474E-01  2.350E-04  184.27 mm     4.81 mm     4.42 mm  
  18.00 MeV   1.479E-01  2.238E-04  191.03 mm     4.91 mm     4.45 mm  
  20.00 MeV   1.481E-01  2.046E-04  204.53 mm     5.27 mm     4.49 mm  
  22.50 MeV   1.476E-01  1.850E-04  221.41 mm     5.79 mm     4.54 mm  
  25.00 MeV   1.464E-01  1.690E-04  238.39 mm     6.28 mm     4.59 mm  
  27.50 MeV   1.448E-01  1.557E-04  255.54 mm     6.73 mm     4.64 mm  
  30.00 MeV   1.428E-01  1.444E-04  272.90 mm     7.17 mm     4.68 mm  
  32.50 MeV   1.406E-01  1.348E-04  290.53 mm     7.60 mm     4.72 mm  
  35.00 MeV   1.383E-01  1.264E-04  308.44 mm     8.01 mm     4.77 mm  
  37.50 MeV   1.358E-01  1.191E-04  326.67 mm     8.42 mm     4.81 mm  
  40.00 MeV   1.333E-01  1.126E-04  345.24 mm     8.82 mm     4.85 mm  
  45.00 MeV   1.284E-01  1.017E-04  383.43 mm    10.35 mm     4.94 mm  
  50.00 MeV   1.235E-01  9.275E-05  423.12 mm    11.78 mm     5.02 mm  
  55.00 MeV   1.189E-01  8.535E-05  464.37 mm    13.15 mm     5.11 mm  
  60.00 MeV   1.153E-01  7.910E-05  507.06 mm    14.48 mm     5.20 mm  
  65.00 MeV   1.112E-01  7.374E-05  551.20 mm    15.77 mm     5.30 mm  
  70.00 MeV   1.072E-01  6.911E-05  596.98 mm    17.05 mm     5.39 mm  
  80.00 MeV   1.004E-01  6.146E-05  693.36 mm    21.84 mm     5.60 mm  
  90.00 MeV   9.449E-02  5.541E-05  796.00 mm    26.23 mm     5.82 mm  
 100.00 MeV   8.929E-02  5.049E-05  904.84 mm    30.42 mm     6.06 mm  
 110.00 MeV   8.470E-02  4.641E-05    1.02 m     34.50 mm     6.31 mm  
 120.00 MeV   8.062E-02  4.298E-05    1.14 m     38.52 mm     6.59 mm  
 130.00 MeV   7.697E-02  4.004E-05    1.27 m     42.51 mm     6.88 mm  
 140.00 MeV   7.369E-02  3.749E-05    1.40 m     46.48 mm     7.19 mm  
 150.00 MeV   7.071E-02  3.526E-05    1.54 m     50.44 mm     7.52 mm  
 160.00 MeV   6.800E-02  3.330E-05    1.68 m     54.42 mm     7.87 mm  
 170.00 MeV   6.551E-02  3.155E-05    1.83 m     58.40 mm     8.23 mm  
 180.00 MeV   6.322E-02  2.999E-05    1.99 m     62.41 mm     8.62 mm  
 200.00 MeV   5.912E-02  2.730E-05    2.32 m     77.71 mm     9.43 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  1.5933E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
