 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\13C6_in_Mylar.txt

 Ion = Carbon [6] , Mass = 13.00006 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.555E+01  1.154E+02     423 A       154 A       113 A   
  11.00 keV   8.973E+01  1.123E+02     463 A       166 A       122 A   
  12.00 keV   9.372E+01  1.094E+02     504 A       178 A       131 A   
  13.00 keV   9.755E+01  1.066E+02     545 A       189 A       140 A   
  14.00 keV   1.012E+02  1.040E+02     585 A       200 A       149 A   
  15.00 keV   1.048E+02  1.016E+02     626 A       210 A       157 A   
  16.00 keV   1.082E+02  9.920E+01     666 A       221 A       166 A   
  17.00 keV   1.116E+02  9.698E+01     707 A       231 A       175 A   
  18.00 keV   1.148E+02  9.487E+01     748 A       240 A       183 A   
  20.00 keV   1.210E+02  9.095E+01     828 A       260 A       200 A   
  22.50 keV   1.283E+02  8.655E+01     929 A       282 A       220 A   
  25.00 keV   1.353E+02  8.263E+01    1029 A       304 A       240 A   
  27.50 keV   1.413E+02  7.910E+01    1128 A       324 A       259 A   
  30.00 keV   1.466E+02  7.591E+01    1227 A       343 A       278 A   
  32.50 keV   1.518E+02  7.302E+01    1326 A       362 A       296 A   
  35.00 keV   1.567E+02  7.037E+01    1424 A       380 A       314 A   
  37.50 keV   1.614E+02  6.793E+01    1521 A       397 A       331 A   
  40.00 keV   1.659E+02  6.569E+01    1618 A       414 A       349 A   
  45.00 keV   1.744E+02  6.169E+01    1810 A       445 A       382 A   
