 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\29P15_in_Mylar.txt.txt

 Ion = Phosphorus [15] , Mass = 28.97357 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   2.397E+03  1.542E+01    5.02 um     2248 A      2874 A   
   8.00 MeV   2.529E+03  1.383E+01    5.42 um     2338 A      2940 A   
   9.00 MeV   2.640E+03  1.256E+01    5.80 um     2415 A      2996 A   
  10.00 MeV   2.734E+03  1.152E+01    6.17 um     2484 A      3046 A   
  11.00 MeV   2.814E+03  1.065E+01    6.53 um     2547 A      3091 A   
  12.00 MeV   2.883E+03  9.912E+00    6.88 um     2604 A      3132 A   
  13.00 MeV   2.940E+03  9.275E+00    7.22 um     2658 A      3169 A   
  14.00 MeV   2.988E+03  8.721E+00    7.56 um     2708 A      3204 A   
  15.00 MeV   3.028E+03  8.233E+00    7.89 um     2756 A      3236 A   
  16.00 MeV   3.060E+03  7.801E+00    8.22 um     2802 A      3266 A   
  17.00 MeV   3.086E+03  7.415E+00    8.54 um     2846 A      3295 A   
  18.00 MeV   3.105E+03  7.068E+00    8.86 um     2888 A      3323 A   
  20.00 MeV   3.130E+03  6.468E+00    9.50 um     3038 A      3374 A   
  22.50 MeV   3.139E+03  5.856E+00   10.30 um     3252 A      3434 A   
  25.00 MeV   3.131E+03  5.357E+00   11.09 um     3452 A      3490 A   
  27.50 MeV   3.112E+03  4.940E+00   11.89 um     3642 A      3542 A   
  30.00 MeV   3.084E+03  4.588E+00   12.70 um     3826 A      3593 A   
  32.50 MeV   3.051E+03  4.285E+00   13.51 um     4004 A      3642 A   
  35.00 MeV   3.015E+03  4.022E+00   14.34 um     4178 A      3690 A   
  37.50 MeV   2.976E+03  3.791E+00   15.17 um     4349 A      3737 A   
  40.00 MeV   2.936E+03  3.587E+00   16.01 um     4518 A      3783 A   
  45.00 MeV   2.854E+03  3.242E+00   17.74 um     5148 A      3874 A   
  50.00 MeV   2.773E+03  2.960E+00   19.51 um     5740 A      3965 A   
  55.00 MeV   2.693E+03  2.726E+00   21.34 um     6307 A      4055 A   
  60.00 MeV   2.631E+03  2.529E+00   23.22 um     6854 A      4147 A   
  65.00 MeV   2.579E+03  2.359E+00   25.14 um     7382 A      4239 A   
  70.00 MeV   2.512E+03  2.212E+00   27.10 um     7897 A      4332 A   
  80.00 MeV   2.382E+03  1.969E+00   31.18 um     9802 A      4522 A   
  90.00 MeV   2.266E+03  1.777E+00   35.48 um     1.16 um     4721 A   
 100.00 MeV   2.162E+03  1.621E+00   40.00 um     1.32 um     4928 A   
 110.00 MeV   2.068E+03  1.491E+00   44.73 um     1.48 um     5144 A   
 120.00 MeV   1.982E+03  1.381E+00   49.67 um     1.64 um     5371 A   
 130.00 MeV   1.904E+03  1.288E+00   54.81 um     1.80 um     5607 A   
 140.00 MeV   1.832E+03  1.206E+00   60.16 um     1.95 um     5853 A   
 150.00 MeV   1.766E+03  1.135E+00   65.72 um     2.10 um     6109 A   
 160.00 MeV   1.705E+03  1.072E+00   71.48 um     2.26 um     6376 A   
 170.00 MeV   1.649E+03  1.017E+00   77.44 um     2.41 um     6652 A   
 180.00 MeV   1.597E+03  9.665E-01   83.60 um     2.57 um     6939 A   
 200.00 MeV   1.502E+03  8.805E-01   96.51 um     3.15 um     7541 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  6.9587E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
