 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\3H1_in_Mylar.txt

 Ion = Hydrogen [1] , Mass = 3.015501 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   2.378E+01  1.710E-02  132.78 um     5.26 um     2.74 um  
   5.50 MeV   2.227E+01  1.570E-02  154.48 um     6.13 um     3.13 um  
   6.00 MeV   2.094E+01  1.453E-02  177.61 um     6.98 um     3.54 um  
   6.50 MeV   1.976E+01  1.353E-02  202.17 um     7.84 um     3.98 um  
   7.00 MeV   1.871E+01  1.266E-02  228.15 um     8.70 um     4.44 um  
   8.00 MeV   1.693E+01  1.123E-02  284.29 um    11.86 um     5.42 um  
   9.00 MeV   1.549E+01  1.011E-02  345.99 um    14.81 um     6.49 um  
  10.00 MeV   1.429E+01  9.195E-03  413.16 um    17.68 um     7.64 um  
  11.00 MeV   1.328E+01  8.440E-03  485.68 um    20.54 um     8.87 um  
  12.00 MeV   1.242E+01  7.804E-03  563.49 um    23.40 um    10.19 um  
  13.00 MeV   1.167E+01  7.261E-03  646.50 um    26.29 um    11.58 um  
  14.00 MeV   1.101E+01  6.792E-03  734.63 um    29.21 um    13.06 um  
  15.00 MeV   1.043E+01  6.382E-03  827.84 um    32.17 um    14.61 um  
  16.00 MeV   9.918E+00  6.021E-03  926.05 um    35.18 um    16.24 um  
  17.00 MeV   9.456E+00  5.700E-03    1.03 mm    38.23 um    17.95 um  
  18.00 MeV   9.038E+00  5.413E-03    1.14 mm    41.32 um    19.73 um  
  20.00 MeV   8.314E+00  4.921E-03    1.37 mm    52.92 um    23.51 um  
  22.50 MeV   7.569E+00  4.423E-03    1.68 mm    69.52 um    28.65 um  
  25.00 MeV   6.957E+00  4.020E-03    2.03 mm    85.24 um    34.23 um  
  27.50 MeV   6.445E+00  3.687E-03    2.40 mm   100.65 um    40.25 um  
  30.00 MeV   6.009E+00  3.406E-03    2.80 mm   115.99 um    46.70 um  
  32.50 MeV   5.633E+00  3.167E-03    3.23 mm   131.38 um    53.56 um  
  35.00 MeV   5.305E+00  2.961E-03    3.69 mm   146.91 um    60.84 um  
  37.50 MeV   5.017E+00  2.780E-03    4.17 mm   162.62 um    68.52 um  
  40.00 MeV   4.761E+00  2.622E-03    4.68 mm   178.53 um    76.60 um  
  45.00 MeV   4.327E+00  2.355E-03    5.78 mm   237.96 um    93.96 um  
  50.00 MeV   3.972E+00  2.139E-03    6.99 mm   293.85 um   112.85 um  
  55.00 MeV   3.675E+00  1.961E-03    8.30 mm   348.43 um   133.25 um  
  60.00 MeV   3.424E+00  1.811E-03    9.71 mm   402.66 um   155.13 um  
  65.00 MeV   3.208E+00  1.683E-03   11.21 mm   457.05 um   178.45 um  
  70.00 MeV   3.020E+00  1.572E-03   12.82 mm   511.85 um   203.19 um  
  80.00 MeV   2.709E+00  1.391E-03   16.31 mm   714.34 um   256.84 um  
  90.00 MeV   2.462E+00  1.249E-03   20.18 mm   902.94 um   315.88 um  
 100.00 MeV   2.261E+00  1.134E-03   24.42 mm     1.09 mm   380.16 um  
 110.00 MeV   2.093E+00  1.039E-03   29.02 mm     1.27 mm   449.52 um  
 120.00 MeV   1.951E+00  9.590E-04   33.96 mm     1.45 mm   523.83 um  
 130.00 MeV   1.830E+00  8.910E-04   39.25 mm     1.64 mm   602.95 um  
 140.00 MeV   1.725E+00  8.323E-04   44.88 mm     1.83 mm   686.77 um  
 150.00 MeV   1.632E+00  7.810E-04   50.83 mm     2.02 mm   775.17 um  
 160.00 MeV   1.551E+00  7.360E-04   57.11 mm     2.21 mm   868.06 um  
 170.00 MeV   1.478E+00  6.960E-04   63.71 mm     2.40 mm   965.32 um  
 180.00 MeV   1.413E+00  6.603E-04   70.63 mm     2.60 mm     1.07 mm  
 200.00 MeV   1.301E+00  5.991E-04   85.37 mm     3.34 mm     1.28 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  2.0354E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
